,problem,problem_ancient,problem_modern
319,假令亭仓上小下大，上下方差六尺，高多上方九尺，容粟一百八十七石二斗。今已运出五十石四斗。问：仓上下方、高及余粟深、上方各多少？,假令亭仓上小下大，上下方差六尺，高多上方九尺，容粟一百八十七石二斗。今已运出五十石四斗。问：仓上下方、高及余粟深、上方各多少？,"这句话的意思是：假设仓库上面小下面大，上下之间相差六尺，高度上面比下面高九尺，可以容纳一百八十七石二斗的粟米。现在已经运出了五十石四斗。问：仓库上下的高度差、上面还剩余多少粟米、上面的高度各是多少？

现代汉语翻译如下：假设仓库上面小下面大，上下之间相差六尺，高度上面比下面高九尺，可以容纳一百八十七石二斗的粟米。现在已经运出了五十石四斗。问：仓库上下的高度差、上面还剩余多少粟米、上面的高度各是多少？"
320,假令芻甍上袤三丈，下袤九丈，广六丈，高一十二丈。有甲县六百三十二人，乙县二百四十三人。夏程人功当积三十六尺，限八日役。自穿筑，二县共造。今甲县先到。问：自下给高、广、袤、各多少？,假令芻甍上袤三丈，下袤九丈，广六丈，高一十二丈。有甲县六百三十二人，乙县二百四十三人。夏程人功当积三十六尺，限八日役。自穿筑，二县共造。今甲县先到。问：自下给高、广、袤、各多少？,"这段古文的意思是：假设草堆上面的高度是三丈，下面是九丈，宽度是六丈，高度是十二丈。有甲县六百三十二人，乙县二百四十三人。夏天每个人的工作量应该是三十六尺，限制工作时间为八天。自己挖掘和建造，两个县一起建造。现在甲县先到达。问：从下面到高度、宽度、长度各是多少？

现代汉语翻译如下：假设草堆下面的长度是九丈，上面是三丈，宽度是六丈，高度是十二丈。有甲县六百三十二人，乙县二百四十三人。夏天每个人的工作量应该是三十六尺，限制工作时间为八天。自己挖掘和建造，两个县一起建造。现在甲县先到达。问：从下面到高度、宽度、长度各是多少？"
321,假令圆囤上小下大，斛法二尺五寸，以率径一周三。上下周差一丈二尺，高多上周一丈八尺，容粟七百五斛六斗。今已运出二百六十六石四斗。问：殘粟去口、上下周、高各多少？,假令圆囤上小下大，斛法二尺五寸，以率径一周三。上下周差一丈二尺，高多上周一丈八尺，容粟七百五斛六斗。今已运出二百六十六石四斗。问：殘粟去口、上下周、高各多少？,"这句话的意思是：假设一个圆形的粮仓，上面的直径比下面的直径大，斛的长度是2尺5寸，按照周长的比例为3来计算。上下周长相差1丈2尺，上面的高度比上周多1丈8尺，容纳了7506斛粟。现在已经运出了266石4斗粟。问：还剩下多少粟，上下周长各是多少，上面的高度多少？

答案是：还剩下7239斛2升2合粟，上下周长分别是16丈2尺和15丈，上面的高度是9丈。"
322,假令有粟二万三千一百二十斛七斗三升，欲作方仓一，圆窖一，盛各满中而粟适尽。令高、深等，使方面少于圆径九寸，多于高二丈九尺八寸，率径七，周二十二。问：方、径、深多少？,假令有粟二万三千一百二十斛七斗三升，欲作方仓一，圆窖一，盛各满中而粟适尽。令高、深等，使方面少于圆径九寸，多于高二丈九尺八寸，率径七，周二十二。问：方、径、深多少？,"这句话的现代汉语翻译是：假设有23,120斛7斗3升的粟，要分别装满一个方仓和一个圆窖，使它们都恰好装满。要求方仓的面积小于圆窖的直径9寸，但大于高2丈9尺8寸，直径是高的7倍，周长是22。问：方仓的面积、圆窖的直径和高分别是多少？

这是一道古代数学难题，需要用到一些几何知识和数学计算。"
323,假令有粟一万六千三百四十八石八斗，欲作方仓四、圆窖三，令高、深等，方面少于圆径一丈，多于高五尺，斛法二尺五寸，率径七，周二十二。问：方、高、径多少？,假令有粟一万六千三百四十八石八斗，欲作方仓四、圆窖三，令高、深等，方面少于圆径一丈，多于高五尺，斛法二尺五寸，率径七，周二十二。问：方、高、径多少？,"这句话的意思是：假设有一万六千三百四十八石八斗的粮食，要建造一个方仓和三个圆形窖藏，要求方仓的高度和深度与圆形窖藏相等，且方仓的面积小于圆形窖藏的直径一丈，但大于高度增加五尺。斛法为二尺五寸，直径为七斛，周长为二十二斛。问：方仓的面积、高度和直径分别是多少？

现代汉语翻译如下：假设有16034.8石的粮食，要建造一个方仓和三个圆形窖藏，要求方仓的高度和深度与圆形窖藏相等，且方仓的面积小于圆形窖藏的直径一丈，但大于高度增加五尺。斛法为2.5尺，直径为7斛，周长为22斛。问：方仓的面积、高度和直径分别是多少？"
324,假令有粟三千七十二石，欲作方仓一、圆窖一，令径与方等，方于窖深二尺，少于仓高三尺，盛各满中而粟适尽（圆率、斛法並与前同）。问：方、径、高、深各多少？,假令有粟三千七十二石，欲作方仓一、圆窖一，令径与方等，方于窖深二尺，少于仓高三尺，盛各满中而粟适尽（圆率、斛法並与前同）。问：方、径、高、深各多少？,"这句话的意思是：假设有三千七十二石粟，想要建造一个方仓和一个圆形窖，使得它们的直径相等，方仓的深度比圆形窖少两尺，但是它的高度比圆形窖高三尺。两个容器都装满粟，问方仓的长、径、高和圆形窖的深度各是多少？

答案是：方仓的长、径、高分别为 $12$ 尺、$4$ 尺、$9$ 尺，圆形窖的深度为 $7$ 尺。"
325,假令有粟五千一百四十石，欲作方窖、圆窖各一，令口小底大，方面于圆径等，两深亦同，其深少于下方七尺，多于上方一丈四尺，盛各满中而粟适尽（圆率、斛法並与前同）。问：方、径、深各多少？,假令有粟五千一百四十石，欲作方窖、圆窖各一，令口小底大，方面于圆径等，两深亦同，其深少于下方七尺，多于上方一丈四尺，盛各满中而粟适尽（圆率、斛法並与前同）。问：方、径、深各多少？,"假设有粟五千一百四十石，想要建造一个方形的窖和一个圆形的窖，要求它们的口小底大，方形窖的面积等于圆形窖的直径的平方乘以π除以4，两个窖的深度相同，但是下方的深度比上方的深度少七尺，上方的深度比下方的深度多一丈四尺，两个窖都盛满粟，问：方形窖的边长、圆形窖的直径和深度各是多少？

翻译成现代汉语就是：假设有5140石粟，要建造一个口小底大的方形窖和一个口小底大的圆形窖，方形窖的面积等于圆形窖的直径的平方乘以π除以4，两个窖的深度相同，但是下方的深度比上方的深度少7尺，上方的深度比下方的深度多1丈4尺，两个窖都盛满粟，问：方形窖的边长、圆形窖的直径和深度各是多少？"
326,假令有粟二万六千三百四十二石四斗，欲作方窖六、圆窖四，令口小底大，方面与圆径等，其深亦同，令深少于下方七尺，多于上方一丈四尺，盛各满中而粟适尽（圆率、斛法並与前同）。问上下方、深数各多少？,假令有粟二万六千三百四十二石四斗，欲作方窖六、圆窖四，令口小底大，方面与圆径等，其深亦同，令深少于下方七尺，多于上方一丈四尺，盛各满中而粟适尽（圆率、斛法並与前同）。问上下方、深数各多少？,"这句话的现代汉语翻译是：假设有260342石4斗的粟，要分别装进6个方形窖和4个圆形窖中，要求口小底大，方形窖的面积和圆形窖的直径相等，深度也相等，且深度比下方少7尺，比上方多1丈4尺，使每个窖都装满粟。问方形窖和圆形窖的上下方和深度各是多少？

这是一道数学题，需要用到一些几何知识和数学计算。我可以给你提供一些思路和方法，但具体的计算还需要你自己完成。"
327,假令有句股相乘幂七百六十五分之一，弦多于句三十六十分之九。问：三事各多少？,假令有句股相乘幂七百六十五分之一，弦多于句三十六十分之九。问：三事各多少？,这句话的现代汉语翻译是：假设有三个数，它们的乘积的幂是1/765，其中第一个数的正弦比第二个数的正弦多36/60。请问这三个数分别是多少？
328,假令有句股相乘幂四千三十六五分之□，股少于弦六五分之一。问：弦多少？（按：此问原本缺二字，今依文補一股字，其股字上之□系所设分数，未便懸擬，今姑闕之）。,假令有句股相乘幂四千三十六五分之□，股少于弦六五分之一。问：弦多少？（按：此问原本缺二字，今依文補一股字，其股字上之□系所设分数，未便懸擬，今姑闕之）。,这句话的现代汉语翻译是：假设有一段弦，它的长度是股的五分之一，股的长度是弦的五分之一减少六十五分之一。如果这段弦的长度是四千三十六又五分之一的股相乘的幂，那么这段弦的长度是多少？
329,假令有句弦相乘幂一千三百三十七二十分之一，弦多股一、十分之一。问：股多少？,假令有句弦相乘幂一千三百三十七二十分之一，弦多股一、十分之一。问：股多少？,"这句话的意思是：假设有一条弦，它的长度是另一条弦的1307.5倍，而且这条弦的股数是另一条弦股数的1.1倍。问：这条弦有多少股？

现代汉语翻译过来就是：

假设有一条弦，它的长度是另一条弦的1307.5倍，而且这条弦的股数是另一条弦股数的1.1倍。问：这条弦有多少股？"
330,假令有股弦相乘幂四千七百三十九五分之三，句少于弦五十四五分之二。问：股多少？,假令有股弦相乘幂四千七百三十九五分之三，句少于弦五十四五分之二。问：股多少？,"这句话的现代汉语翻译是：假设有一段弦相乘的幂是 $4739\frac{5}{3}$，其长度少于弦的长度的 $\frac{54}{5}$。问：这段弦的长度是多少？

这句话是一个数学问题，需要用到一些数学知识。其中，“股”指的是弦的长度，“幂”指的是指数，即将弦的长度乘以自身若干次方。"
331,假令有股弦相乘幂七百二十六，句七、十分之七。问：股多少？,假令有股弦相乘幂七百二十六，句七、十分之七。问：股多少？,"这句话的意思是：如果有一股弦与另一股弦相乘，结果为726，其中一股弦占7/10，问这股弦是多少。 

现代汉语翻译为：假设有两个数相乘等于726，其中一个数占总数的7/10，问这个数是多少。"
332,假令有股十六二分之一，句弦相乘幂一百六十四二十五分之十四。问：句多少？,假令有股十六二分之一，句弦相乘幂一百六十四二十五分之十四。问：句多少？,"这句话的意思是：假设有一条弦，其长度为圆的直径的十六分之二，又假设这条弦的两端所对应的圆弧的角度相乘的结果为十四的一百六十四分之二十五次方。那么问：这条弦的长度是多少？

现代汉语翻译为：假设有一条弦，其长度为圆的直径的1/8，又假设这条弦的两端所对应的圆弧的角度相乘的结果为14的1.64×10^25次方。那么问：这条弦的长度是多少？"
333,度之所起，起于______。,度之所起，起于______。,度之所起，起于一。
334,欲知其忽，蚕吐丝为忽，______忽为一丝，,欲知其忽，蚕吐丝为忽，______忽为一丝，,欲知其忽，蚕吐丝为忽，一忽为一丝，一丝为千忽。
335,______丝为一毫，,______丝为一毫，,“丝”指的是丝绸，而“毫”是一种古代计量单位，相当于现在的千分之一。因此，这句话的意思是“一根丝绸可以分成千分之一的细丝”。
336,______毫为一氂 ，,______毫为一氂 ，,“毫为一氂”可以翻译成“一毫等于一千分之一氂”。
337,______氂为一分，,______氂为一分，,“氂为一分”可以翻译成“氂是一种货币单位”。
338,______分为一寸，,______分为一寸，,“分为一寸”可以翻译成“分成了一寸”。
339,______寸为一尺，,______寸为一尺，,"""十寸为一尺""。"
340,______尺为一丈，,______尺为一丈，,“一尺等于十分之一的一丈。”
341,______丈为一引，,______丈为一引，,“丈”是古代长度单位，相当于现代的十尺，而“引”则是古代长度单位，相当于现代的一尺。因此，“______丈为一引”可以翻译成“十丈为一引”。
342,______引为一端，,______引为一端，,“引为一端”可以翻译成“以此为起点”。
343,______尺为一匹，,______尺为一匹，,“尺为一匹”翻译成现代汉语就是“一尺等于一匹”。
344,______尺为一步，,______尺为一步，,“尺为一步”翻译成现代汉语就是“一尺等于一步”。
345,______步为一亩，,______步为一亩，,“步”指的是古代的计量单位“步”，“亩”是古代的土地面积单位。将句子翻译成现代汉语就是“一步等于多少面积才能组成一亩？”
346,______步为一里。,______步为一里。,这句话的意思是“一千步为一里”，将古汉语翻译成现代汉语就是“一千步为一里”。
347,称之所起，起于______。,称之所起，起于______。,这句话的完整句子是“称之所起，起于庖丁解牛”，意思是“这个名字的由来，来自于庖丁解牛”。
348,______黍为一累，,______黍为一累，,“黍为一累”可以翻译成“黍米成一堆”。
349,______累为一铢，,______累为一铢，,“累为一铢”可以翻译成“辛苦劳作得到的报酬很少”。
350,______铢为一两，,______铢为一两，,“铢”是古代的计量单位，相当于现代的“毫升”，“两”则相当于现代的“克”。因此，“______铢为一两”可以翻译成“一两等于多少毫升？”
351,______两为一斤，,______两为一斤，,“______两为一斤”可以翻译成“十两为一斤”。
352,______斤为一钧，,______斤为一钧，,“斤”和“钧”都是古代中国的计量单位。现代汉语中已经不再使用。将句子翻译成现代汉语就是“一斤等于一钧”。
353,______钧为一石。,______钧为一石。,“一钧等于一石。”
354,量之所起，起于______。,量之所起，起于______。,量之所起，起于名。
355,______粟为一圭，,______粟为一圭，,“粟为一圭”翻译成现代汉语是“一圭等于多少粟”。
356,______圭为一撮，,______圭为一撮，,“圭为一撮”翻译成现代汉语是“玉器像一把撮”。
357,______撮为一抄，,______撮为一抄，,“撮为一抄”可以翻译成“合并成一篇”。
358,______抄为一勺，,______抄为一勺，,“抄”在古汉语中是指“取”，“一勺”指的是一勺子的量。因此，这句话的意思是“取一勺子的量”。
359,______勺为一合，,______勺为一合，,“勺”是古代计量单位，现代汉语中已经不再使用。它的换算关系是：一勺等于一半合。因此，这句话的现代汉语翻译是：“半个合为一勺。”
360,______合为一升，,______合为一升，,“合为一升”可以翻译成“合起来是一升”。
361,______升为一斗，,______升为一斗，,“______升为一斗”可以翻译成“几个______合成一斗”。其中，“升”是古代计量单位，相当于现代的“升”，而“斗”则是古代计量单位，相当于现代的“升”的十倍。
362,______斗为一斛，,______斗为一斛，,“四斗为一石”
363,______斛得六千万粟。,______斛得六千万粟。,这句话的意思是“一斛可以得到六千万斗的粟米”。
364,所以得知者，______粟为一圭，,所以得知者，______粟为一圭，,所以得知者，一斗粟等于一圭。
365,______圭______粟为一撮，,______圭______粟为一撮，,"""玉器和小米一起成为一把撮。"""
366,______撮______粟为一抄，,______撮______粟为一抄，,这句话的现代汉语翻译是：用一把手抓起一把谷粒。
367,______抄______粟为一勺，,______抄______粟为一勺，,这句话的现代汉语翻译是：“用勺子舀取一勺粟米。”
368,______勺______粟为一合，,______勺______粟为一合，,“一合”是古代计量单位，相当于现在的500克左右。所以这句话的意思是“一勺粟米加起来是一合”。
369,______合______粟为一升，,______合______粟为一升，,"""合""和""粟""混合在一起，一共可以装满一升的容器。"
370,______升______粟为一斗，,______升______粟为一斗，,这句话的意思是“一斗米等于多少斗谷子”。
371,______斗______粟为一斛，,______斗______粟为一斛，,“九斗”粟合在一起称为一斛。
372,十斛______粟，,十斛______粟，,十斛粟，相当于十石粟。
373,百斛______粟，,百斛______粟，,百斛粮食。
374,千斛______粟，,千斛______粟，,千斤的谷子。
375,万斛______粟，,万斛______粟，,万斛粮食。
376,十万斛______粟，,十万斛______粟，,十万斛粟，意思是十万斛的粮食。
377,百万斛______粟，,百万斛______粟，,百万斛粟，意思是一百万斛的粮食。斛是古代的一种容量单位，相当于现在的升。
378,千万斛______粟，,千万斛______粟，,千万斛粮食。
379,万万斛为______粟，,万万斛为______粟，,万万斛为亿亿升，粟即是稻谷。
380,十亿斛______粟，,十亿斛______粟，,十亿斛粟，意思是一百亿斗的粟米。
381,百亿斛______粟。,百亿斛______粟。,百亿斛粟，可以翻译成“一百万亿斛粟”。
382,凡大数之法：______。,凡大数之法：______。,"凡是大数的计算方法：______。 

这句话的意思是指，这个方法适用于所有大数的计算。"
383,周三，径一，方五，邪七。见邪求方，______；见方求邪，______。,周三，径一，方五，邪七。见邪求方，______；见方求邪，______。,这是一道古代算术题，翻译成现代汉语是：周长为3，直径为1，边长为5，对角线为7。如果已知对角线求边长，答案是4；如果已知边长求对角线，答案是$\sqrt{74}$。
384,白银方寸重______。,白银方寸重______。,“白银方寸重”是指白银的重量非常轻微，只有方寸大小。现代汉语翻译为“白银轻如鸿毛”。
385,玉方寸重______。,玉方寸重______。,玉方寸重的意思是指玉石的重量只有方寸大小，但是价值却非常高贵。可以翻译成现代汉语为“小巧玲珑，价值连城”。
386,铜方寸重______。,铜方寸重______。,铜方寸重的意思是指铜制的方形货币，其重量为一寸（约等于三厘米）的重量。现代汉语翻译为“一寸重的铜方形货币”。
387,铅方寸重______。,铅方寸重______。,铅方寸重的意思是指铅的密度很大，每个方寸的重量都很重。现代汉语可以翻译为“铅的密度很大”。
388,铁方寸重______。,铁方寸重______。,铁方寸重的意思是指铁块的重量，现代汉语可以翻译为“铁块的重量”。
389,石方寸重______。,石方寸重______。,石方寸重的意思是指石头的重量非常重，可以翻译成现代汉语为“石头重得像方寸一样”。
390,凡算之法：______。,凡算之法：______。,凡是计算的方法：______。
391,凡乘之法：______。,凡乘之法：______。,凡乘之法：乘法的基本原理。
392,凡除之法：______。,凡除之法：______。,凡除之法：除法的一种。
393,以粟求粝米，______。,以粟求粝米，______。,以粟求粝米，不足为奇。
394,以粝米求粟，______。,以粝米求粟，______。,以粝米求粟，不可取。
395,以粝米求饭，______。,以粝米求饭，______。,以粝米求饭，不足为奇。
396,以粟米求粝饭，______。,以粟米求粝饭，______。,以稻米求稻米。
397,以粝饭求粝米，______。,以粝饭求粝米，______。,以珠求砂。
398,以绺米求饭，______。,以绺米求饭，______。,以绺米求饭，不如自食其力。
399,十分减一者，以二乘二十除；减二者，以四乘二十除；减三者，以六乘二十除；减四 者，以八乘二十除；减五者，以十乘二十除；减六者，以十二乘二十除；减七者，以十四 乘二十除；减八者，以十六乘二十除；减九者，以十八乘二十除。,十分减一者，以二乘二十除；减二者，以四乘二十除；减三者，以六乘二十除；减四 者，以八乘二十除；减五者，以十乘二十除；减六者，以十二乘二十除；减七者，以十四 乘二十除；减八者，以十六乘二十除；减九者，以十八乘二十除。,这句话的意思是：如果一个数减去十分之一，就用二乘二十除；如果减去二分之一，就用四乘二十除；如果减去三分之一，就用六乘二十除；如果减去四分之一，就用八乘二十除；如果减去五分之一，就用十乘二十除；如果减去六分之一，就用十二乘二十除；如果减去七分之一，就用十四乘二十除；如果减去八分之一，就用十六乘二十除；如果减去九分之一，就用十八乘二十除。
400,九分减一者，以二乘______除。,九分减一者，以二乘______除。,这句话的意思是：将九分之一乘以二，再除以二，得到的结果就是九分之一减去一的值。
401,八分减一者，以二乘______除。,八分减一者，以二乘______除。,八分减一，以二乘七除。
402,七分减一者，以二乘______除。,七分减一者，以二乘______除。,七分减一者，以二乘三除。
403,六分减一者，以二乘______除。,六分减一者，以二乘______除。,六分减一者，以二乘五除。
404,五分减一者，以二乘______除。,五分减一者，以二乘______除。,五分减一，即四分之一，以二乘除，即乘以二再除以一，得到的结果是二分之一。因此，句子的翻译是：“将五分之一减去一份，然后用二乘以剩下的四分之一，最后再除以一，得到的结果是二分之一。”
405,九九八十一，自相乘得几何？,九九八十一，自相乘得几何？,九九八十一，自相乘得九千零九十一。
406,六千五百六十一，九人分之。问：人得几何？,六千五百六十一，九人分之。问：人得几何？,这句话的意思是“六千五百六十一除以九，问得到多少？”将其翻译成现代汉语就是“6561÷9=多少？”
407,八九七十二，自相乘，得______，八人分之，人得______。,八九七十二，自相乘，得______，八人分之，人得______。,这句话的意思是：八九七十二，自相乘，得六万四千八百二十四，八人分之，人得八千一百五十五。
408,七九六十三，自相乘，得______，七人分之，人得______。,七九六十三，自相乘，得______，七人分之，人得______。,这句话的意思是：七九六十三，自相乘，得四十九万零二百四十九，七人分之，人得七万零一百七十六。
409,六九五十四，自相乘，得______，六人分之，人得______。,六九五十四，自相乘，得______，六人分之，人得______。,这句话的意思是：六九五十四，自相乘，得三万六千九百六十六，六人分之，人得六千一百一十一。
410,五九四十五，自相乘，得______，五人分之，人得______。,五九四十五，自相乘，得______，五人分之，人得______。,五九四十五，自相乘，得三百五十五，五人分之，人得七十一。
411,四九三十六，自相乘，得______，四人分之，人得______。,四九三十六，自相乘，得______，四人分之，人得______。,四九三十六，自相乘，得二百三十六，四人分之，人得五十九。
412,三九二十七，自相乘，得______，三人分之，人得______。,三九二十七，自相乘，得______，三人分之，人得______。,这是一道古代数学题，翻译成现代汉语就是：九九等于八十一，九乘九等于八十一，二十七除以三等于九。所以答案是：八十一，九。
413,二九一十八，自相乘，得______，二人分之，人得______。,二九一十八，自相乘，得______，二人分之，人得______。,二九一十八，自相乘，得八十一万六千四百四十四，二人分之，人得四十万八千二百二十二。
414,一九如九，自相乘，得______，一人得______。,一九如九，自相乘，得______，一人得______。,这句话的意思是：九乘以九等于八十一，一个人得八十一份。
415,右九九一条，得______，自相乘，得______，九人分之，人得______。,右九九一条，得______，自相乘，得______，九人分之，人得______。,右九九一条，得九千九百一十九，自相乘，得九十八万一千八百六十一，九人分之，人得一万零九百八十七。
416,八八六十四，自相乘，得______，八人分之，人得______。,八八六十四，自相乘，得______，八人分之，人得______。,这是一道古代的数学题目，翻译成现代汉语是：八十八乘以六十四，得到五千六百九十二，八个人平分，每个人得七百一十一。
417,七八五十六，自相乘，得______，七人分之，人得______。,七八五十六，自相乘，得______，七人分之，人得______。,这句话的意思是：七八五十六相乘，得出的结果是多少？将这个结果平均分给七个人，每个人能得到多少？
418,六八四十八，自相乘，得______，六人分之，人得______。,六八四十八，自相乘，得______，六人分之，人得______。,这句话的意思是：六乘八等于四十八，六个人平分，每个人得八。
419,五八四十，自相乘，得______，五人分之，人得______。,五八四十，自相乘，得______，五人分之，人得______。,五八四十，自相乘，得二千九百六十，五人分之，人得五百九十二。
420,四八三十二，自相乘，得______，四人分之，人得______。,四八三十二，自相乘，得______，四人分之，人得______。,这是一道古代数学题，翻译成现代汉语就是：四乘八乘三十二，得到一百零六六。四个人平分这个数，每个人得到二百六十六分之一百零六六。
421,三八二十四，自相乘，得______，三人分之，人得______。,三八二十四，自相乘，得______，三人分之，人得______。,这是一道古代的数学题目，翻译成现代汉语是：三乘八等于二十四，二十四除以三等于八。
422,二八十六，自相乘，得______，二人分之，人得______。,二八十六，自相乘，得______，二人分之，人得______。,这是一道古代的算术题，翻译成现代汉语就是：二乘以八十六，得一百七十二，两个人平分，每人得八十六。
423,一八如八，自相乘，得______，一人得______。,一八如八，自相乘，得______，一人得______。,这句话的现代汉语翻译是：十六乘以八，得一百二十八，一个人得六十四。
424,右八八一条，得______，自相乘，得______，八人分之，人得______。,右八八一条，得______，自相乘，得______，八人分之，人得______。,这句话的意思是：右边有一条，长度为8.1，自己乘以自己得到65.61，将其分成八份，每份长度为8.20125。
425,七七四十九，自相乘，得______，七人分之，人得______。,七七四十九，自相乘，得______，七人分之，人得______。,这句话的意思是：七七四十九，自相乘，得四千九百零一，七人分之，人得七百零一。
426,六七四十二，自相乘，得______，六人分之，人得______。,六七四十二，自相乘，得______，六人分之，人得______。,这句话的现代汉语翻译是：六七四十二，相乘得二百五十二，六人平分，每人得四十二。
427,五七三十五，自相乘，得______，五人分之，人得______。,五七三十五，自相乘，得______，五人分之，人得______。,这是一道古代的数学题目，翻译成现代汉语是：五七三十五，相乘得到三百五十，五人平分，每人得七十。
428,四七二十八，自相乘，得______，四人分之，人得______。,四七二十八，自相乘，得______，四人分之，人得______。,这句话的意思是：四七二十八，自相乘，得一百六十八，四人分之，人得四十二。
429,三七二十一，自相乘，得______，三人分之，人得______。,三七二十一，自相乘，得______，三人分之，人得______。,这是一道古代的算术题，翻译成现代汉语就是：三七二十一，相乘得二百二十一，三人平分，每人得七十三。
430,二七一十四，自相乘，得______，二人分之，人得______。,二七一十四，自相乘，得______，二人分之，人得______。,这是一道古代的数学题目，翻译成现代汉语就是：2714，自乘后得到7351396，两人平分，每人得3675698。
431,一七如七，自相乘，得______，一人得______。,一七如七，自相乘，得______，一人得______。,这句话的现代汉语翻译是：一个数乘以自己，得到的结果是七，一个人得到的是几。
432,右七七一条，得______，自相乘，得______，七人分之，人得______。,右七七一条，得______，自相乘，得______，七人分之，人得______。,这句话的现代汉语翻译是：右七七一条，得 784，自相乘，得 38416，七人分之，人得 5488。
433,六六三十六，自相乘，得______，六人分之，人得______。,六六三十六，自相乘，得______，六人分之，人得______。,这句话的意思是：六六三十六，自相乘，得三千六百九十六，六人分之，人得六百一十六。
434,五六三十，自相乘，得______，五人分之，人得______。,五六三十，自相乘，得______，五人分之，人得______。,这句话的意思是：五六相乘得三十，五个人平分，每人得六。
435,四六二十四，自相乘，得______，四人分之，人得______。,四六二十四，自相乘，得______，四人分之，人得______。,四六二十四，自相乘，得二百五十六，四人分之，人得六十四。
436,三六一十八，自相乘，得______，三人分之，人得______。,三六一十八，自相乘，得______，三人分之，人得______。,这是一道古代的数学题目，翻译成现代汉语就是：三六一十八，自相乘，得五千零四十四，三人分之，人得一千八百一十四。
437,二六一十二，自相乘，得______，二人分之，人得______。,二六一十二，自相乘，得______，二人分之，人得______。,二六一十二，自相乘，得六百四十四，二人分之，人得三百二十二。
438,一六如六，自相乘，得______，一人得______。,一六如六，自相乘，得______，一人得______。,这句话的意思是：一个六和一个六相乘，得三十六，一个人得三十六分之一。
439,右六六一条，得______，自相乘，得______，六人分之，人得______。,右六六一条，得______，自相乘，得______，六人分之，人得______。,这句话的意思是：右边有661条，相乘得到______，六个人平分，每个人得到______。
440,五五二十五，自相乘，得______，五人分之，人得______。,五五二十五，自相乘，得______，五人分之，人得______。,五五二十五，自相乘，得二百五；五人分之，人得五。
441,四五二十，自相乘，得______，四人分之，人得______。,四五二十，自相乘，得______，四人分之，人得______。,四五二十，自相乘，得二百二十，四人分之，人得五十五。
442,三五一十五，自相乘，得______，三人分之，人得______。,三五一十五，自相乘，得______，三人分之，人得______。,三五一十五，自相乘，得二百二十五，三人分之，人得七十五。
443,二五一十，自相乘，得______，二人分之，得______。,二五一十，自相乘，得______，二人分之，得______。,二五一十，自相乘，得二百五十；二人分之，得一百二十五。
444,一五如五，自相乘，得______，一人得______。,一五如五，自相乘，得______，一人得______。,这句话的意思是：一个数乘以五，结果还是五，那么这个数是一，一个人得到一份。
445,右五五一条，得______，自相乘，得______，五人分之，人得______。,右五五一条，得______，自相乘，得______，五人分之，人得______。,这句话的现代汉语翻译是：右边有一条，长度为55，自己乘以自己，得到3025，分给五个人，每个人得到605。
446,四四一十六，自相乘，得______，四人分之，人得______。,四四一十六，自相乘，得______，四人分之，人得______。,这句话的意思是：四四一十六，自相乘，得一百六十六，四人分之，人得四十一。
447,三四一十二，自相乘，得______，三人分之，人得______。,三四一十二，自相乘，得______，三人分之，人得______。,三四一十二，自相乘，得一千零九十六，三人分之，人得三百六十八。
448,二四如八，自相乘，得______，二人分之，人得______。,二四如八，自相乘，得______，二人分之，人得______。,这是一道古代的算术谜语，翻译成现代汉语就是：二乘以四等于八，八分成两份，每份为四。
449,一四如四，自相乘，得______，一人得______。,一四如四，自相乘，得______，一人得______。,这句话的意思是：一个数乘以四等于四个数，这四个数相乘得到______，一个人得到______。
450,右四四一条，得______，自相乘，得______，四人分之，人得______。,右四四一条，得______，自相乘，得______，四人分之，人得______。,右四四一条，得四十四，自相乘，得一千九百三十六，四人分之，人得四百八十九。
451,三三如九，自相乘，得______，三人分之，人得______。,三三如九，自相乘，得______，三人分之，人得______。,这是一道古代数学题，翻译成现代汉语是：三个数两两相乘，得到九个积，将九个积相加，得到总和。将总和除以三，得到每个数的平均值。
452,二三如六，自相乘，得______，二人分之，人得______。,二三如六，自相乘，得______，二人分之，人得______。,这句话的意思是：二乘三等于六，自己乘自己也等于六，两个人平分六，每个人得三。
453,一三如三，自相乘，得______，一人得______。,一三如三，自相乘，得______，一人得______。,这句话的意思是：一个数乘以它自己，得到一个数，一个人得到这个数。
454,右三三一条，得______，自相乘，得______，三人分之，人得______。,右三三一条，得______，自相乘，得______，三人分之，人得______。,右三三一条，得三百三十一，自相乘，得三万四千三百六十一，三人分之，人得一万一千四百五十三。
455,二二如四，自相乘，得______，二人分之，人得______。,二二如四，自相乘，得______，二人分之，人得______。,这是一道古代的数学题目，翻译成现代汉语是：两个二相乘得四，两个人平分一半，每人得两份。
456,一二如二，自相乘，得______，一人得______。,一二如二，自相乘，得______，一人得______。,这句话的现代汉语翻译是：一个数乘以自己，得到______，一个人得到______。
457,右二二一条，得______，自相乘，得______，二人分之，人得______。,右二二一条，得______，自相乘，得______，二人分之，人得______。,右二二一条，得二百二十一，自相乘，得四万八千四百四十一，二人分之，人得两万四千二百二十。
458,一一如一，自相乘，得______，一乘不长。,一一如一，自相乘，得______，一乘不长。,“一一如一，自相乘，得一不变，一乘不长。”的意思是“一个一个地相乘，得到的结果不变，一个乘以一个不会增加”。
